Filename,LOC,ForLoops,WhileLoops,IfStatements,O0ExecTime,O1ExecTime,O2ExecTime,O3ExecTime,OfastExecTime,BestFlag
program_64.c,89,2,2,15,0.0690004825592041,0.2564089298248291,0.0445289611816406,0.0500085353851318,0.0525212287902832,-O2
program_65.c,79,4,3,11,0.0515251159667968,0.0565273761749267,0.0400004386901855,0.0430073738098144,0.0330085754394531,-Ofast
program_66.c,65,2,0,13,0.0815303325653076,0.0340104103088378,0.0505156517028808,0.0410013198852539,0.056999921798706,-O1
program_67.c,59,4,2,7,0.0350008010864257,0.0475244522094726,0.0445249080657959,0.1135294437408447,0.0355243682861328,-O0
program_68.c,19,0,1,2,0.0400004386901855,0.0665242671966552,0.0600097179412841,0.0520079135894775,0.0460078716278076,-O0
program_69.c,27,1,0,4,0.0380005836486816,0.0705161094665527,0.0570011138916015,0.0370078086853027,0.0488722324371337,-O3
program_70.c,19,0,1,2,0.0389633178710937,0.0625226497650146,0.0885384082794189,0.0250000953674316,0.0315265655517578,-O3
program_71.c,25,2,0,3,0.0635287761688232,0.0470006465911865,0.142129898071289,0.1035254001617431,0.0715434551239013,-O1
program_72.c,33,1,2,4,0.0440006256103515,0.0319993495941162,0.0885565280914306,0.0435271263122558,0.0355279445648193,-O1
program_73.c,17,1,0,2,0.0865545272827148,0.0425269603729248,0.0430006980895996,0.0310015678405761,0.1121973991394043,-O3
program_74.c,49,1,0,8,0.0372459888458251,0.0805256366729736,0.0270071029663085,0.059528112411499,0.0776829719543457,-O2
program_75.c,43,1,2,6,0.0395205020904541,0.0320136547088623,0.055521011352539,0.0570003986358642,0.1285324096679687,-O1
program_76.c,43,0,1,7,0.0290009975433349,0.0440073013305664,0.0255138874053955,0.0755345821380615,0.0375237464904785,-O2
program_77.c,19,0,1,2,0.0220112800598144,0.0540130138397216,0.0430080890655517,0.0359985828399658,0.1436693668365478,-O0
program_78.c,37,2,0,6,0.0486512184143066,0.0310022830963134,0.0968101024627685,0.0629997253417968,0.0865132808685302,-O1
program_79.c,19,0,1,2,0.0559999942779541,0.1055269241333007,0.1076462268829345,0.0795443058013916,0.0420012474060058,-Ofast
program_80.c,31,1,1,4,0.0846633911132812,0.0580003261566162,0.0349979400634765,0.0270006656646728,0.060009479522705,-O3
program_81.c,17,1,0,2,0.084808349609375,0.0725326538085937,0.073007583618164,0.0360262393951416,0.0445189476013183,-O3
program_82.c,19,0,1,2,0.1069881916046142,0.0438690185546875,0.0655114650726318,0.0520005226135253,0.0480079650878906,-O1
program_83.c,43,4,2,4,0.065298318862915,0.0475332736968994,0.0495262145996093,0.0530095100402832,0.0385222434997558,-Ofast
program_84.c,71,2,2,11,0.0390000343322753,0.0930328369140625,0.0275177955627441,0.0845232009887695,0.0510103702545166,-O2
program_85.c,17,1,0,2,0.0335326194763183,0.0675408840179443,0.0310003757476806,0.1315226554870605,0.0400097370147705,-O2
program_86.c,31,1,1,4,0.0339999198913574,0.0470094680786132,0.139047622680664,0.0595219135284423,0.0575273036956787,-O0
program_87.c,19,0,1,2,0.1175239086151123,0.0555160045623779,0.1195242404937744,0.0625362396240234,0.042006492614746,-Ofast
program_88.c,69,2,0,14,0.0410122871398925,0.0390090942382812,0.046527624130249,0.0329973697662353,0.0440008640289306,-O3
program_89.c,31,1,0,5,0.0455183982849121,0.0389995574951171,0.0565254688262939,0.0300014019012451,0.0445239543914794,-O3
program_90.c,37,1,1,5,0.0439977645874023,0.0335235595703125,0.0445263385772705,0.0530087947845459,0.0485260486602783,-O1
program_91.c,19,0,1,2,0.0790076255798339,0.0290076732635498,0.0595324039459228,0.0330023765563964,0.0515275001525878,-O1
program_92.c,51,2,1,8,0.0420005321502685,0.0505268573760986,0.0379998683929443,0.1155226230621337,0.0680005550384521,-O2
program_93.c,19,0,1,2,0.04901123046875,0.057528018951416,0.0559999942779541,0.0695185661315918,0.095531940460205,-O0
program_94.c,19,0,1,2,0.0815272331237793,0.0519995689392089,0.0785157680511474,0.0665259361267089,0.0585238933563232,-O1
program_95.c,43,0,1,7,0.0855245590209961,0.1155362129211425,0.0665273666381836,0.0549995899200439,0.0435280799865722,-Ofast
program_96.c,17,1,0,2,0.0785183906555175,0.129523754119873,0.1305503845214843,0.0650000572204589,0.0349988937377929,-Ofast
program_97.c,29,1,0,4,0.0399999618530273,0.0480096340179443,0.0430095195770263,0.0400002002716064,0.0530002117156982,-O0
program_98.c,17,1,0,2,0.0835311412811279,0.0589995384216308,0.0319921970367431,0.0345172882080078,0.0250074863433837,-Ofast
program_99.c,69,0,4,9,0.0319986343383789,0.0559983253479003,0.0370006561279296,0.03652024269104,0.0295169353485107,-Ofast
program_100.c,25,2,0,3,0.0755319595336914,0.0650000572204589,0.1005253791809082,0.1175246238708496,0.0700016021728515,-O1
program_101.c,77,3,4,11,0.0705256462097168,0.0615162849426269,0.1175241470336914,0.1680555343627929,0.0785229206085205,-O1
program_102.c,43,0,1,7,0.1330466270446777,0.0785257816314697,0.0795180797576904,0.1565349102020263,0.0615253448486328,-Ofast
program_103.c,17,1,0,2,0.097524881362915,0.0705218315124511,0.1138215065002441,0.1390392780303955,0.1321468353271484,-O1
program_104.c,19,0,1,2,0.1425220966339111,0.122523546218872,0.0980060100555419,0.1065223217010498,0.0507686138153076,-Ofast
program_105.c,17,1,0,2,0.0400087833404541,0.0850081443786621,0.1025261878967285,0.1358468532562255,0.1370434761047363,-O0
program_106.c,99,0,1,19,0.1265261173248291,0.2253236770629882,0.0905215740203857,0.0290088653564453,0.1740548610687255,-O3
program_107.c,79,2,3,11,0.0375277996063232,0.20448899269104,0.0774922370910644,0.0660064220428466,0.1930460929870605,-O0
program_108.c,17,1,0,2,0.1495301723480224,0.0615127086639404,0.1365365982055664,0.0850110054016113,0.095524787902832,-O1
program_109.c,19,0,1,2,0.0575253963470459,0.1135268211364746,0.0995218753814697,0.1670634746551513,0.1600484848022461,-O0
program_110.c,81,1,1,16,0.067528486251831,0.0525305271148681,0.0730073451995849,0.2885682582855224,0.0635271072387695,-O1
program_111.c,75,2,1,14,0.0595226287841796,0.0505263805389404,0.0765283107757568,0.0585269927978515,0.0585272312164306,-O1
program_112.c,17,1,0,2,0.1195249557495117,0.1265275478363037,0.1125283241271972,0.1385352611541748,0.0585196018218994,-Ofast
program_113.c,17,1,0,2,0.0885274410247802,0.0615167617797851,0.0335440635681152,0.0774657726287841,0.0280101299285888,-Ofast
program_114.c,19,0,1,2,0.0970458984375,0.0410058498382568,0.0315282344818115,0.0505263805389404,0.0685205459594726,-O2
program_115.c,87,3,2,14,0.0605189800262451,0.0500104427337646,0.08951997756958,0.0815260410308837,0.062528371810913,-O1
program_116.c,63,2,1,12,0.0385167598724365,0.0580091476440429,0.0655221939086914,0.1085269451141357,0.061000108718872,-O0
program_117.c,77,6,1,12,0.0370111465454101,0.0905220508575439,0.0915143489837646,0.0635278224945068,0.0509955883026123,-O0
program_118.c,27,2,1,3,0.0515239238739013,0.0560004711151123,0.0965244770050048,0.0645184516906738,0.0443689823150634,-Ofast
program_119.c,19,0,1,2,0.0775258541107177,0.0295155048370361,0.0925230979919433,0.0649983882904052,0.0280005931854248,-Ofast
program_120.c,41,1,2,6,0.2230782508850097,0.0628893375396728,0.0915243625640869,0.0755233764648437,0.0660068988800048,-O1
program_121.c,17,1,0,2,0.0309998989105224,0.087531566619873,0.0625233650207519,0.0756378173828125,0.0269997119903564,-Ofast
program_122.c,19,0,1,2,0.0520024299621582,0.1250391006469726,0.0715234279632568,0.028001070022583,0.0350091457366943,-O3
program_123.c,69,3,2,10,0.1135239601135253,0.0555281639099121,0.0475263595581054,0.1045310497283935,0.0870120525360107,-O2
program_124.c,81,0,1,16,0.0670106410980224,0.0289995670318603,0.1235272884368896,0.0595324039459228,0.0565135478973388,-O1
program_125.c,79,4,0,14,0.0450091361999511,0.07952880859375,0.2020604610443115,0.1248059272766113,0.0825223922729492,-O0
program_126.c,33,1,1,5,0.0785250663757324,0.0925254821777343,0.0465271472930908,0.0715291500091552,0.07051682472229,-O2
program_127.c,29,1,0,5,0.0835232734680175,0.0660071372985839,0.0710060596466064,0.0775220394134521,0.059006929397583,-Ofast
program_128.c,31,1,1,4,0.0912785530090332,0.0400018692016601,0.1195204257965087,0.0825288295745849,0.0834608078002929,-O1
program_129.c,89,2,1,17,0.0892798900604248,0.0525240898132324,0.1025185585021972,0.1915426254272461,0.0750081539154052,-O1
program_130.c,33,2,1,4,0.0495283603668212,0.0820071697235107,0.0540032386779785,0.1570501327514648,0.07051682472229,-O0
program_131.c,85,3,3,12,0.032999038696289,0.0725064277648925,0.0595135688781738,0.0660097599029541,0.122049331665039,-O0
program_132.c,17,1,0,2,0.0545234680175781,0.059523582458496,0.050006628036499,0.1215369701385498,0.0775244235992431,-O2
program_133.c,17,1,0,2,0.0835242271423339,0.071000337600708,0.0815231800079345,0.0805146694183349,0.0650053024291992,-Ofast
program_134.c,53,2,3,6,0.073516845703125,0.1155354976654052,0.0855269432067871,0.1860499382019043,0.0340003967285156,-Ofast
program_135.c,51,0,3,7,0.044513463973999,0.0279996395111084,0.0250027179718017,0.0620012283325195,0.0519986152648925,-O2
program_136.c,39,1,2,5,0.1266334056854248,0.1205291748046875,0.1910521984100341,0.1836528778076172,0.1994860172271728,-O1
program_137.c,33,1,0,6,0.0279996395111084,0.078519582748413,0.0825295448303222,0.0699985027313232,0.0905523300170898,-O0
program_138.c,19,0,1,2,0.0250098705291748,0.0755290985107421,0.0380113124847412,0.0490095615386962,0.0410013198852539,-O0
program_139.c,71,3,2,10,0.133523941040039,0.0755207538604736,0.0815324783325195,0.0525310039520263,0.0769004821777343,-O3
program_140.c,17,1,0,2,0.0500073432922363,0.0785260200500488,0.082007884979248,0.049515962600708,0.055999755859375,-O3
program_141.c,75,4,1,14,0.0749270915985107,0.0673816204071044,0.0460000038146972,0.0379998683929443,0.0330004692077636,-Ofast
program_142.c,39,1,3,4,0.0935266017913818,0.0570008754730224,0.0595293045043945,0.0585136413574218,0.0520102977752685,-Ofast
program_143.c,17,1,0,2,0.0975196361541748,0.0539987087249755,0.0300109386444091,0.0289990901947021,0.0309991836547851,-O3
program_144.c,27,1,0,4,0.0615186691284179,0.054527997970581,0.0359992980957031,0.0485157966613769,0.0520110130310058,-O2
program_145.c,107,2,4,17,0.0225205421447753,0.0395171642303466,0.1095268726348877,0.0985279083251953,0.0523638725280761,-O0
program_146.c,17,1,0,2,0.0349986553192138,0.0485255718231201,0.0245168209075927,0.0690004825592041,0.0329995155334472,-O2
program_147.c,23,0,1,3,0.0265173912048339,0.0329997539520263,0.0775222778320312,0.0260021686553955,0.0470116138458251,-O3
program_148.c,35,0,1,5,0.0569996833801269,0.0685279369354248,0.0705180168151855,0.0440092086791992,0.0369977951049804,-Ofast
program_149.c,19,0,1,2,0.0389978885650634,0.0395305156707763,0.0370018482208251,0.0915758609771728,0.11253023147583,-O2
program_150.c,101,0,2,19,0.0616390705108642,0.0545282363891601,0.0825231075286865,0.0630090236663818,0.0440003871917724,-Ofast
program_151.c,17,1,0,2,0.0559992790222168,0.1461000442504882,0.0915215015411377,0.0395219326019287,0.0505166053771972,-O3
program_152.c,17,1,0,2,0.1566259860992431,0.2260413169860839,0.0755255222320556,0.1005306243896484,0.0491335391998291,-Ofast
program_153.c,59,3,4,7,0.1730415821075439,0.0715160369873046,0.0580019950866699,0.0300009250640869,0.049649953842163,-O3
program_154.c,19,0,1,2,0.1215260028839111,0.0795245170593261,0.0755238533020019,0.1055364608764648,0.0619997978210449,-Ofast
program_155.c,19,0,1,2,0.0655174255371093,0.0535266399383544,0.0565211772918701,0.0565285682678222,0.0615255832672119,-O1
program_156.c,19,0,1,2,0.0509991645812988,0.0673136711120605,0.0725178718566894,0.0555160045623779,0.0360002517700195,-Ofast
program_157.c,81,2,5,12,0.0495271682739257,0.0650033950805664,0.0375266075134277,0.0625231266021728,0.0615236759185791,-O2
program_158.c,17,1,0,2,0.0779998302459716,0.0755252838134765,0.0679922103881836,0.0775239467620849,0.0310001373291015,-Ofast
program_159.c,41,0,2,6,0.0465149879455566,0.0260007381439209,0.0609931945800781,0.0342683792114257,0.0280020236968994,-O1
program_160.c,39,2,1,6,0.0360109806060791,0.054999828338623,0.0490007400512695,0.033010721206665,0.0805325508117675,-O3
program_161.c,45,5,2,4,0.041522741317749,0.0290000438690185,0.0269997119903564,0.0625226497650146,0.0492200851440429,-O2
program_162.c,43,2,1,6,0.0335190296173095,0.0785262584686279,0.0270013809204101,0.0279998779296875,0.0695230960845947,-O2
program_163.c,39,1,1,6,0.0335240364074707,0.0579988956451416,0.0505206584930419,0.049999713897705,0.0505106449127197,-O0
program_164.c,17,1,0,2,0.0245187282562255,0.0390114784240722,0.0379989147186279,0.0335290431976318,0.0405158996582031,-O0
program_165.c,81,3,1,13,0.0555205345153808,0.0549983978271484,0.0727362632751464,0.0530011653900146,0.0429987907409668,-Ofast
program_166.c,65,3,3,9,0.0475261211395263,0.0550014972686767,0.0645234584808349,0.0605189800262451,0.023003339767456,-Ofast
program_167.c,35,1,2,4,0.0360009670257568,0.1370506286621093,0.027250051498413,0.0345213413238525,0.0728490352630615,-O2
program_168.c,39,2,1,5,0.124061107635498,0.0878803730010986,0.0590071678161621,0.1398358345031738,0.1518378257751464,-O2
program_169.c,99,2,4,15,0.0715222358703613,0.0675253868103027,0.0429999828338623,0.0698106288909912,0.0300061702728271,-Ofast
program_170.c,85,2,3,13,0.0650022029876709,0.055424690246582,0.0435149669647216,0.0963244438171386,0.0645225048065185,-O2
program_171.c,41,4,3,3,0.0335204601287841,0.0576658248901367,0.0740723609924316,0.040999412536621,0.12052583694458,-O0
program_172.c,41,4,3,3,0.0370082855224609,0.0605244636535644,0.0678346157073974,0.0825259685516357,0.0330073833465576,-Ofast
program_173.c,19,0,1,2,0.0928883552551269,0.0525352954864501,0.0545156002044677,0.0574536323547363,0.0265171527862548,-Ofast
program_174.c,29,1,1,4,0.1280417442321777,0.0565176010131835,0.0435261726379394,0.1144754886627197,0.0410001277923584,-Ofast
program_175.c,47,0,2,7,0.057528018951416,0.0855152606964111,0.0575261116027832,0.0629992485046386,0.0529956817626953,-Ofast
program_176.c,51,0,1,10,0.0255169868469238,0.0740926265716552,0.0290007591247558,0.0430109500885009,0.1310420036315918,-O0
program_177.c,17,1,0,2,0.0719766616821289,0.0395259857177734,0.0935163497924804,0.0405089855194091,0.0705337524414062,-O1
program_178.c,55,4,2,7,0.0340015888214111,0.059521198272705,0.0480000972747802,0.045516014099121,0.0575311183929443,-O0
program_179.c,19,0,1,2,0.0280001163482666,0.0260000228881835,0.0918147563934326,0.0600209236145019,0.0725302696228027,-O1
program_180.c,19,0,1,2,0.0685334205627441,0.0325236320495605,0.0915243625640869,0.0592367649078369,0.0505177974700927,-O1
program_181.c,109,2,3,19,0.1005387306213378,0.0855283737182617,0.0509982109069824,0.0585191249847412,0.0449991226196289,-Ofast
program_182.c,19,0,1,2,0.035508394241333,0.070009708404541,0.0605297088623046,0.0559995174407959,0.0269999504089355,-Ofast
program_183.c,41,3,3,4,0.0595185756683349,0.0665347576141357,0.0395243167877197,0.0265166759490966,0.0395236015319824,-O3
program_184.c,49,3,0,8,0.0865297317504882,0.0775263309478759,0.0905241966247558,0.0875213146209716,0.1225249767303466,-O1
program_185.c,29,2,1,3,0.0390005111694335,0.0279991626739501,0.0545244216918945,0.0525264739990234,0.0605297088623046,-O1
program_186.c,19,0,1,2,0.0390174388885498,0.0355324745178222,0.0310070514678955,0.0495293140411376,0.0435235500335693,-O2
program_187.c,61,1,1,10,0.0360066890716552,0.0770115852355957,0.041518211364746,0.1325244903564453,0.1330378055572509,-O0
program_188.c,17,1,0,2,0.0399959087371826,0.0269978046417236,0.0475215911865234,0.0530133247375488,0.1392297744750976,-O1
program_189.c,31,2,0,4,0.0855164527893066,0.2090449333190918,0.0837545394897461,0.0965240001678466,0.0585277080535888,-Ofast
program_190.c,19,0,1,2,0.1092340946197509,0.2670514583587646,0.0895593166351318,0.1560533046722412,0.051520824432373,-Ofast
program_191.c,25,1,0,4,0.1045248508453369,0.0680017471313476,0.1035139560699462,0.0280053615570068,0.053999900817871,-O3
program_192.c,43,2,0,8,0.0565135478973388,0.0470013618469238,0.0505249500274658,0.0341897010803222,0.0705294609069824,-O3
program_193.c,33,3,2,3,0.041999340057373,0.084522008895874,0.0475194454193115,0.0845279693603515,0.0853099822998046,-O0
program_194.c,77,1,2,14,0.0565590858459472,0.1016421318054199,0.0455288887023925,0.0419995784759521,0.0370011329650878,-Ofast
program_195.c,17,1,0,2,0.1335237026214599,0.0479998588562011,0.0565171241760253,0.0668261051177978,0.048671007156372,-O1
program_196.c,37,1,0,6,0.0561754703521728,0.0415179729461669,0.0597946643829345,0.0290017127990722,0.0545289516448974,-O3
program_197.c,35,2,1,4,0.0360028743743896,0.032527208328247,0.0565271377563476,0.0465190410614013,0.0665264129638671,-O1
program_198.c,77,3,2,12,0.0525226593017578,0.0385284423828125,0.0485243797302246,0.0840115547180175,0.0805306434631347,-O1
program_199.c,17,1,0,2,0.1425261497497558,0.1185390949249267,0.0499720573425293,0.0858924388885498,0.0550124645233154,-O2
program_200.c,47,1,2,7,0.0580112934112548,0.0489988327026367,0.0795233249664306,0.0706496238708496,0.1720480918884277,-O1
program_201.c,55,2,5,5,0.1055197715759277,0.0565230846405029,0.0728914737701416,0.0685236454010009,0.049999713897705,-Ofast
program_202.c,17,1,0,2,0.0905284881591796,0.0429658889770507,0.047013521194458,0.0775246620178222,0.0745251178741455,-O1
